Time(s),X-Position (X[2]),Y-Position (X[1]),Input U
7.60000000e-001,9.00022930e-003,1.30589959e-002,8.11428267e-001
7.70000000e-001,9.13063667e-003,1.30745178e-002,8.12874060e-001
7.80000000e-001,9.26119398e-003,1.30890452e-002,8.14299994e-001
7.90000000e-001,9.39189126e-003,1.31025664e-002,8.15706555e-001
8.00000000e-001,9.52271839e-003,1.31150699e-002,8.17094209e-001
8.10000000e-001,9.65366517e-003,1.31265438e-002,8.18463408e-001
8.20000000e-001,9.78472127e-003,1.31369766e-002,8.19814586e-001
8.30000000e-001,9.91587622e-003,1.31463566e-002,8.21148162e-001
8.40000000e-001,1.00471195e-002,1.31546721e-002,8.22464542e-001
8.50000000e-001,1.01784403e-002,1.31619117e-002,8.23764115e-001
8.60000000e-001,1.03098280e-002,1.31680637e-002,8.25047261e-001
8.70000000e-001,1.04412716e-002,1.31731164e-002,8.26314343e-001
8.80000000e-001,1.05727601e-002,1.31770585e-002,8.27565716e-001
8.90000000e-001,1.07042823e-002,1.31798782e-002,8.28801721e-001
9.00000000e-001,1.08358270e-002,1.31815642e-002,8.30022688e-001
9.10000000e-001,1.09673829e-002,1.31821049e-002,8.31228937e-001
9.20000000e-001,1.10989383e-002,1.31814888e-002,8.32420779e-001
9.30000000e-001,1.12304817e-002,1.31797044e-002,8.33598512e-001
9.40000000e-001,1.13620015e-002,1.31767403e-002,8.34762429e-001
9.50000000e-001,1.14934857e-002,1.31725850e-002,8.35912811e-001
9.60000000e-001,1.16249224e-002,1.31672272e-002,8.37049931e-001
9.70000000e-001,1.17562996e-002,1.31606555e-002,8.38174055e-001
9.80000000e-001,1.18876052e-002,1.31528584e-002,8.39285440e-001
9.90000000e-001,1.20188267e-002,1.31438247e-002,8.40384336e-001
1.00000000e+000,1.21499518e-002,1.31335430e-002,8.41470985e-001
1.01000000e+000,1.22809680e-002,1.31220020e-002,8.42545622e-001
1.02000000e+000,1.24118627e-002,1.31091904e-002,8.43608478e-001
1.03000000e+000,1.25426232e-002,1.30950969e-002,8.44659773e-001
1.04000000e+000,1.26732365e-002,1.30797105e-002,8.45699723e-001
1.05000000e+000,1.28036898e-002,1.30630197e-002,8.46728540e-001
1.06000000e+000,1.29339699e-002,1.30450136e-002,8.47746427e-001
1.07000000e+000,1.30640637e-002,1.30256809e-002,8.48753583e-001
1.08000000e+000,1.31939579e-002,1.30050104e-002,8.49750201e-001
1.09000000e+000,1.33236390e-002,1.29829912e-002,8.50736470e-001
1.10000000e+000,1.34530936e-002,1.29596122e-002,8.51712573e-001
1.11000000e+000,1.35823080e-002,1.29348623e-002,8.52678688e-001
1.12000000e+000,1.37112686e-002,1.29087306e-002,8.53634989e-001
1.13000000e+000,1.38399614e-002,1.28812060e-002,8.54581645e-001
1.14000000e+000,1.39683724e-002,1.28522778e-002,8.55518822e-001
1.15000000e+000,1.40964877e-002,1.28219349e-002,8.56446679e-001
1.16000000e+000,1.42242931e-002,1.27901666e-002,8.57365375e-001
1.17000000e+000,1.43517742e-002,1.27569620e-002,8.58275060e-001
1.18000000e+000,1.44789168e-002,1.27223104e-002,8.59175886e-001
1.19000000e+000,1.46057062e-002,1.26862010e-002,8.60067996e-001
1.20000000e+000,1.47321279e-002,1.26486232e-002,8.60951533e-001
1.21000000e+000,1.48581672e-002,1.26095663e-002,8.61826636e-001
1.22000000e+000,1.49838093e-002,1.25690197e-002,8.62693439e-001
1.23000000e+000,1.51090392e-002,1.25269729e-002,8.63552074e-001
1.24000000e+000,1.52338420e-002,1.24834153e-002,8.64402670e-001
1.25000000e+000,1.53582024e-002,1.24383365e-002,8.65245354e-001
1.26000000e+000,1.54821054e-002,1.23917261e-002,8.66080247e-001
